dataset,n,R,metodo,tiempo
densidad-baja,162,27,BT-0,0.110135
densidad-baja,162,27,BT-F,0.099766
densidad-baja,163,27,BT-0,0.075672
densidad-baja,163,27,BT-F,0.073828
densidad-baja,164,27,BT-0,0.13932
densidad-baja,164,27,BT-F,0.12845
densidad-baja,165,27,BT-0,0.1286
densidad-baja,165,27,BT-F,0.14467
densidad-baja,166,27,BT-0,0.140683
densidad-baja,166,27,BT-F,0.065392
densidad-baja,167,28,BT-0,0.134061
densidad-baja,167,28,BT-F,0.095909
densidad-baja,168,28,BT-0,0.1443
densidad-baja,168,28,BT-F,0.138288
densidad-baja,169,28,BT-0,0.147375
densidad-baja,169,28,BT-F,0.140041
densidad-baja,170,28,BT-0,0.076363
densidad-baja,170,28,BT-F,0.066243
densidad-baja,171,28,BT-0,0.123671
densidad-baja,171,28,BT-F,0.054041
densidad-baja,172,28,BT-0,0.152295
densidad-baja,172,28,BT-F,0.061635
densidad-baja,173,29,BT-0,0.227115
densidad-baja,173,29,BT-F,0.210053
densidad-baja,174,29,BT-0,0.134892
densidad-baja,174,29,BT-F,0.138409
densidad-baja,175,29,BT-0,0.087434
densidad-baja,175,29,BT-F,0.159719
densidad-baja,176,29,BT-0,0.189965
densidad-baja,176,29,BT-F,0.169176
densidad-baja,177,29,BT-0,0.17116
densidad-baja,177,29,BT-F,0.083466
densidad-baja,178,29,BT-0,0.252601
densidad-baja,178,29,BT-F,0.271147
densidad-baja,179,30,BT-0,0.083927
densidad-baja,179,30,BT-F,0.18738
densidad-baja,180,30,BT-0,0.145231
densidad-baja,180,30,BT-F,0.193031
densidad-baja,181,30,BT-0,0.196447
densidad-baja,181,30,BT-F,0.14988
densidad-baja,182,30,BT-0,0.215232
densidad-baja,182,30,BT-F,0.200605
densidad-baja,183,30,BT-0,0.169918
densidad-baja,183,30,BT-F,0.161291
densidad-baja,184,30,BT-0,0.102061
densidad-baja,184,30,BT-F,0.189745
densidad-baja,185,31,BT-0,0.138729
densidad-baja,185,31,BT-F,0.158576
densidad-baja,186,31,BT-0,0.276476
densidad-baja,186,31,BT-F,0.221524
densidad-baja,187,31,BT-0,0.263322
densidad-baja,187,31,BT-F,0.126987
densidad-baja,188,31,BT-0,0.166011
densidad-baja,188,31,BT-F,0.18196
densidad-baja,189,31,BT-0,0.26208
densidad-baja,189,31,BT-F,0.125254
densidad-baja,190,31,BT-0,0.234248
densidad-baja,190,31,BT-F,0.170588
densidad-baja,191,32,BT-0,0.239838
densidad-baja,191,32,BT-F,0.190666
densidad-baja,192,32,BT-0,0.196808
densidad-baja,192,32,BT-F,0.195996
densidad-baja,193,32,BT-0,0.100227
densidad-baja,193,32,BT-F,0.184595
densidad-baja,194,32,BT-0,0.215092
densidad-baja,194,32,BT-F,0.247001
densidad-baja,195,32,BT-0,0.264635
densidad-baja,195,32,BT-F,0.125394
densidad-baja,196,32,BT-0,0.138339
densidad-baja,196,32,BT-F,0.260286
densidad-baja,197,33,BT-0,0.173724
densidad-baja,197,33,BT-F,0.187109
densidad-baja,198,33,BT-0,0.173905
densidad-baja,198,33,BT-F,0.163575
densidad-baja,199,33,BT-0,0.232455
densidad-baja,199,33,BT-F,0.206847
