dataset,n,R,metodo,tiempo
densidad-alta,153,918,DP,24.4811
densidad-alta,154,924,DP,26.512
densidad-alta,155,930,DP,25.867
densidad-alta,156,936,DP,26.9247
densidad-alta,157,942,DP,26.5811
densidad-alta,158,948,DP,26.0211
densidad-alta,159,954,DP,25.9858
densidad-alta,160,960,DP,28.0802
densidad-alta,161,966,DP,26.7677
densidad-alta,162,972,DP,28.8716
densidad-alta,163,978,DP,31.8516
densidad-alta,164,984,DP,31.2092
densidad-alta,165,990,DP,32.526
densidad-alta,166,996,DP,30.6068
densidad-alta,167,1002,DP,31.1607
densidad-alta,168,1008,DP,34.0816
densidad-alta,169,1014,DP,30.7037
densidad-alta,170,1020,DP,33.677
densidad-alta,171,1026,DP,32.2499
densidad-alta,172,1032,DP,34.7042
densidad-alta,173,1038,DP,37.3851
densidad-alta,174,1044,DP,35.6547
densidad-alta,175,1050,DP,33.7308
densidad-alta,176,1056,DP,35.1119
densidad-alta,177,1062,DP,38.6782
densidad-alta,178,1068,DP,38.5317
densidad-alta,179,1074,DP,39.308
densidad-alta,180,1080,DP,38.5724
densidad-alta,181,1086,DP,38.5664
densidad-alta,182,1092,DP,40.7868
densidad-alta,183,1098,DP,40.1536
densidad-alta,184,1104,DP,41.0445
densidad-alta,185,1110,DP,39.0213
densidad-alta,186,1116,DP,43.9941
densidad-alta,187,1122,DP,43.3561
densidad-alta,188,1128,DP,42.5544
densidad-alta,189,1134,DP,41.9185
densidad-alta,190,1140,DP,45.4042
densidad-alta,191,1146,DP,45.8756
densidad-alta,192,1152,DP,48.0577
densidad-alta,193,1158,DP,48.6791
densidad-alta,194,1164,DP,47.5727
densidad-alta,195,1170,DP,50.7378
densidad-alta,196,1176,DP,49.6313
densidad-alta,197,1182,DP,51.1093
densidad-alta,198,1188,DP,51.4738
densidad-alta,199,1194,DP,51.7467
densidad-alta,200,1200,DP,53.5861
densidad-baja,1,0,DP,0.006061
densidad-baja,2,0,DP,0.009597
densidad-baja,3,0,DP,0.009156
densidad-baja,4,0,DP,0.009467
densidad-baja,5,0,DP,0.010449
densidad-baja,6,1,DP,0.014707
densidad-baja,7,1,DP,0.011722
densidad-baja,8,1,DP,0.012733
densidad-baja,9,1,DP,0.012503
densidad-baja,10,1,DP,0.014737
densidad-baja,11,1,DP,0.015778
densidad-baja,12,2,DP,0.01646
densidad-baja,13,2,DP,0.015488
densidad-baja,14,2,DP,0.015127
densidad-baja,15,2,DP,0.020908
densidad-baja,16,2,DP,0.020417
densidad-baja,17,2,DP,0.022862
densidad-baja,18,3,DP,0.032008
densidad-baja,19,3,DP,0.028993
densidad-baja,20,3,DP,0.032299
densidad-baja,21,3,DP,0.043309
densidad-baja,22,3,DP,0.056963
densidad-baja,23,3,DP,0.028191
densidad-baja,24,4,DP,0.058677
densidad-baja,25,4,DP,0.040593
densidad-baja,26,4,DP,0.043449
densidad-baja,27,4,DP,0.051053
densidad-baja,28,4,DP,0.053127
densidad-baja,29,4,DP,0.056402
densidad-baja,30,5,DP,0.053918
densidad-baja,31,5,DP,0.057965
densidad-baja,32,5,DP,0.055861
densidad-baja,33,5,DP,0.081809
densidad-baja,34,5,DP,0.079374
densidad-baja,35,5,DP,0.064768
densidad-baja,36,6,DP,0.074645
densidad-baja,37,6,DP,0.079935
densidad-baja,38,6,DP,0.092778
densidad-baja,39,6,DP,0.092077
densidad-baja,40,6,DP,0.090224
densidad-baja,41,6,DP,0.103058
densidad-baja,42,7,DP,0.11523
densidad-baja,43,7,DP,0.102055
densidad-baja,44,7,DP,0.094462
densidad-baja,45,7,DP,0.13178
densidad-baja,46,7,DP,0.116081
densidad-baja,47,7,DP,0.104099
densidad-baja,48,8,DP,0.099291
densidad-baja,49,8,DP,0.103789
densidad-baja,50,8,DP,0.106184
densidad-baja,51,8,DP,0.08262
densidad-baja,52,8,DP,0.114137
densidad-baja,53,8,DP,0.132411
densidad-baja,54,9,DP,0.1427
densidad-baja,55,9,DP,0.143881
densidad-baja,56,9,DP,0.138501
densidad-baja,57,9,DP,0.152187
densidad-baja,58,9,DP,0.138271
densidad-baja,59,9,DP,0.150053
densidad-baja,60,10,DP,0.202047
densidad-baja,61,10,DP,0.190717
densidad-baja,62,10,DP,0.171803
densidad-baja,63,10,DP,0.166613
densidad-baja,64,10,DP,0.211585
densidad-baja,65,10,DP,0.183213
densidad-baja,66,11,DP,0.198841
densidad-baja,67,11,DP,0.170501
densidad-baja,68,11,DP,0.20351
densidad-baja,69,11,DP,0.288925
densidad-baja,70,11,DP,0.212586
densidad-baja,71,11,DP,0.200835
densidad-baja,72,12,DP,0.198341
densidad-baja,73,12,DP,0.19241
densidad-baja,74,12,DP,0.251057
densidad-baja,75,12,DP,0.452924
densidad-baja,76,12,DP,0.229939
densidad-baja,77,12,DP,0.202859
densidad-baja,78,13,DP,0.262838
densidad-baja,79,13,DP,0.244475
densidad-baja,80,13,DP,0.25835
densidad-baja,81,13,DP,0.249023
densidad-baja,82,13,DP,0.306767
densidad-baja,83,13,DP,0.259211
densidad-baja,84,14,DP,0.289496
densidad-baja,85,14,DP,0.281142
densidad-baja,86,14,DP,0.306538
densidad-baja,87,14,DP,0.328166
densidad-baja,88,14,DP,0.358472
densidad-baja,89,14,DP,0.383167
densidad-baja,90,15,DP,0.460608
densidad-baja,91,15,DP,0.36868
densidad-baja,92,15,DP,0.281191
densidad-baja,93,15,DP,0.294336
densidad-baja,94,15,DP,0.397934
densidad-baja,95,15,DP,0.343515
densidad-baja,96,16,DP,0.352311
densidad-baja,97,16,DP,0.345839
densidad-baja,98,16,DP,0.375753
densidad-baja,99,16,DP,0.409766
densidad-baja,100,16,DP,0.370264
densidad-baja,101,16,DP,0.270632
densidad-baja,102,17,DP,0.375814
densidad-baja,103,17,DP,0.379169
densidad-baja,104,17,DP,0.299074
densidad-baja,105,17,DP,0.449848
densidad-baja,106,17,DP,0.357089
densidad-baja,107,17,DP,0.417599
densidad-baja,108,18,DP,0.44545
densidad-baja,109,18,DP,0.447163
densidad-baja,110,18,DP,0.520607
densidad-baja,111,18,DP,0.479092
densidad-baja,112,18,DP,0.519034
densidad-baja,113,18,DP,0.486775
densidad-baja,114,19,DP,0.451922
densidad-baja,115,19,DP,0.693641
densidad-baja,116,19,DP,0.532358
densidad-baja,117,19,DP,0.43985
densidad-baja,118,19,DP,0.850746
densidad-baja,119,19,DP,0.466468
densidad-baja,120,20,DP,0.535163
densidad-baja,121,20,DP,0.535033
densidad-baja,122,20,DP,0.421857
densidad-baja,123,20,DP,0.803661
densidad-baja,124,20,DP,0.394227
densidad-baja,125,20,DP,0.508735
densidad-baja,126,21,DP,0.617222
densidad-baja,127,21,DP,0.46201
densidad-baja,128,21,DP,0.507523
densidad-baja,129,21,DP,0.513775
densidad-baja,130,21,DP,0.684665
densidad-baja,131,21,DP,0.727062
densidad-baja,132,22,DP,0.761214
densidad-baja,133,22,DP,0.700103
densidad-baja,134,22,DP,0.559307
densidad-baja,135,22,DP,0.69268
densidad-baja,136,22,DP,0.813779
densidad-baja,137,22,DP,0.814501
densidad-baja,138,23,DP,1.48586
densidad-baja,139,23,DP,0.927596
densidad-baja,140,23,DP,0.826012
densidad-baja,141,23,DP,0.845097
densidad-baja,142,23,DP,0.965205
densidad-baja,143,23,DP,1.37766
densidad-baja,144,24,DP,1.34186
densidad-baja,145,24,DP,1.40776
densidad-baja,146,24,DP,1.02158
densidad-baja,147,24,DP,0.965505
densidad-baja,148,24,DP,1.03441
densidad-baja,149,24,DP,0.858831
densidad-baja,150,25,DP,0.984961
densidad-baja,151,25,DP,1.0252
densidad-baja,152,25,DP,0.888847
densidad-baja,153,25,DP,1.10166
densidad-baja,154,25,DP,1.0039
densidad-baja,155,25,DP,1.26505
densidad-baja,156,26,DP,1.29056
densidad-baja,157,26,DP,1.44168
densidad-baja,158,26,DP,0.576237
densidad-baja,159,26,DP,1.45875
densidad-baja,160,26,DP,1.03706
densidad-baja,161,26,DP,1.30367
densidad-baja,162,27,DP,1.48919
densidad-baja,163,27,DP,1.64932
densidad-baja,164,27,DP,1.48614
densidad-baja,165,27,DP,1.36103
densidad-baja,166,27,DP,1.41599
densidad-baja,167,27,DP,1.5734
densidad-baja,168,28,DP,1.40783
densidad-baja,169,28,DP,1.52835
densidad-baja,170,28,DP,2.25117
densidad-baja,171,28,DP,1.93067
densidad-baja,172,28,DP,1.26866
densidad-baja,173,28,DP,1.40995
densidad-baja,174,29,DP,2.68488
densidad-baja,175,29,DP,2.84231
densidad-baja,176,29,DP,1.76261
densidad-baja,177,29,DP,1.82128
densidad-baja,178,29,DP,1.47561
densidad-baja,179,29,DP,1.38874
densidad-baja,180,30,DP,1.78995
densidad-baja,181,30,DP,2.00534
densidad-baja,182,30,DP,1.43854
densidad-baja,183,30,DP,2.01545
densidad-baja,184,30,DP,2.40806
densidad-baja,185,30,DP,2.25797
densidad-baja,186,31,DP,1.77325
densidad-baja,187,31,DP,2.40096
densidad-baja,188,31,DP,2.20902
densidad-baja,189,31,DP,2.22467
densidad-baja,190,31,DP,1.73098
densidad-baja,191,31,DP,2.38909
densidad-baja,192,32,DP,1.90674
densidad-baja,193,32,DP,3.13716
densidad-baja,194,32,DP,2.0649
densidad-baja,195,32,DP,2.63851
densidad-baja,196,32,DP,2.29641
densidad-baja,197,32,DP,1.26426
densidad-baja,198,33,DP,2.28186
densidad-baja,199,33,DP,1.8749
densidad-baja,200,33,DP,1.69045
