dataset,instancia,n,R,archivo
densidad-mezclada,MEZCLA-62,62,778,instancias/densidad-mezclada/MEZCLA-62.txt
densidad-mezclada,MEZCLA-63,63,801,instancias/densidad-mezclada/MEZCLA-63.txt
densidad-mezclada,MEZCLA-64,64,824,instancias/densidad-mezclada/MEZCLA-64.txt
densidad-mezclada,MEZCLA-65,65,848,instancias/densidad-mezclada/MEZCLA-65.txt
densidad-mezclada,MEZCLA-66,66,872,instancias/densidad-mezclada/MEZCLA-66.txt
densidad-mezclada,MEZCLA-67,67,897,instancias/densidad-mezclada/MEZCLA-67.txt
densidad-mezclada,MEZCLA-68,68,921,instancias/densidad-mezclada/MEZCLA-68.txt
densidad-mezclada,MEZCLA-69,69,946,instancias/densidad-mezclada/MEZCLA-69.txt
densidad-mezclada,MEZCLA-70,70,972,instancias/densidad-mezclada/MEZCLA-70.txt
densidad-mezclada,MEZCLA-71,71,997,instancias/densidad-mezclada/MEZCLA-71.txt
densidad-mezclada,MEZCLA-72,72,1024,instancias/densidad-mezclada/MEZCLA-72.txt
densidad-mezclada,MEZCLA-73,73,1050,instancias/densidad-mezclada/MEZCLA-73.txt
densidad-mezclada,MEZCLA-74,74,1077,instancias/densidad-mezclada/MEZCLA-74.txt
densidad-mezclada,MEZCLA-75,75,1104,instancias/densidad-mezclada/MEZCLA-75.txt
densidad-mezclada,MEZCLA-76,76,1131,instancias/densidad-mezclada/MEZCLA-76.txt
densidad-mezclada,MEZCLA-77,77,1159,instancias/densidad-mezclada/MEZCLA-77.txt
densidad-mezclada,MEZCLA-78,78,1187,instancias/densidad-mezclada/MEZCLA-78.txt
densidad-mezclada,MEZCLA-79,79,1215,instancias/densidad-mezclada/MEZCLA-79.txt
densidad-mezclada,MEZCLA-80,80,1244,instancias/densidad-mezclada/MEZCLA-80.txt
densidad-mezclada,MEZCLA-81,81,1273,instancias/densidad-mezclada/MEZCLA-81.txt
densidad-mezclada,MEZCLA-82,82,1302,instancias/densidad-mezclada/MEZCLA-82.txt
densidad-mezclada,MEZCLA-83,83,1332,instancias/densidad-mezclada/MEZCLA-83.txt
densidad-mezclada,MEZCLA-84,84,1362,instancias/densidad-mezclada/MEZCLA-84.txt
densidad-mezclada,MEZCLA-85,85,1393,instancias/densidad-mezclada/MEZCLA-85.txt
densidad-mezclada,MEZCLA-86,86,1423,instancias/densidad-mezclada/MEZCLA-86.txt
densidad-mezclada,MEZCLA-87,87,1454,instancias/densidad-mezclada/MEZCLA-87.txt
densidad-mezclada,MEZCLA-88,88,1486,instancias/densidad-mezclada/MEZCLA-88.txt
densidad-mezclada,MEZCLA-89,89,1517,instancias/densidad-mezclada/MEZCLA-89.txt
densidad-mezclada,MEZCLA-90,90,1550,instancias/densidad-mezclada/MEZCLA-90.txt
densidad-mezclada,MEZCLA-91,91,1582,instancias/densidad-mezclada/MEZCLA-91.txt
densidad-mezclada,MEZCLA-92,92,1615,instancias/densidad-mezclada/MEZCLA-92.txt
densidad-mezclada,MEZCLA-93,93,1648,instancias/densidad-mezclada/MEZCLA-93.txt
densidad-mezclada,MEZCLA-94,94,1681,instancias/densidad-mezclada/MEZCLA-94.txt
densidad-mezclada,MEZCLA-95,95,1715,instancias/densidad-mezclada/MEZCLA-95.txt
densidad-mezclada,MEZCLA-96,96,1749,instancias/densidad-mezclada/MEZCLA-96.txt
densidad-mezclada,MEZCLA-97,97,1783,instancias/densidad-mezclada/MEZCLA-97.txt
densidad-mezclada,MEZCLA-98,98,1818,instancias/densidad-mezclada/MEZCLA-98.txt
densidad-mezclada,MEZCLA-99,99,1853,instancias/densidad-mezclada/MEZCLA-99.txt
densidad-mezclada,MEZCLA-100,100,1888,instancias/densidad-mezclada/MEZCLA-100.txt
densidad-mezclada,MEZCLA-101,101,1924,instancias/densidad-mezclada/MEZCLA-101.txt
densidad-mezclada,MEZCLA-102,102,1960,instancias/densidad-mezclada/MEZCLA-102.txt
densidad-mezclada,MEZCLA-103,103,1997,instancias/densidad-mezclada/MEZCLA-103.txt
densidad-mezclada,MEZCLA-104,104,2033,instancias/densidad-mezclada/MEZCLA-104.txt
densidad-mezclada,MEZCLA-105,105,2070,instancias/densidad-mezclada/MEZCLA-105.txt
densidad-mezclada,MEZCLA-106,106,2108,instancias/densidad-mezclada/MEZCLA-106.txt
densidad-mezclada,MEZCLA-107,107,2145,instancias/densidad-mezclada/MEZCLA-107.txt
densidad-mezclada,MEZCLA-108,108,2184,instancias/densidad-mezclada/MEZCLA-108.txt
densidad-mezclada,MEZCLA-109,109,2222,instancias/densidad-mezclada/MEZCLA-109.txt
densidad-mezclada,MEZCLA-110,110,2261,instancias/densidad-mezclada/MEZCLA-110.txt
densidad-mezclada,MEZCLA-111,111,2300,instancias/densidad-mezclada/MEZCLA-111.txt
densidad-mezclada,MEZCLA-112,112,2339,instancias/densidad-mezclada/MEZCLA-112.txt
densidad-mezclada,MEZCLA-113,113,2379,instancias/densidad-mezclada/MEZCLA-113.txt
densidad-mezclada,MEZCLA-114,114,2419,instancias/densidad-mezclada/MEZCLA-114.txt
densidad-mezclada,MEZCLA-115,115,2459,instancias/densidad-mezclada/MEZCLA-115.txt
densidad-mezclada,MEZCLA-116,116,2500,instancias/densidad-mezclada/MEZCLA-116.txt
densidad-mezclada,MEZCLA-117,117,2541,instancias/densidad-mezclada/MEZCLA-117.txt
densidad-mezclada,MEZCLA-118,118,2582,instancias/densidad-mezclada/MEZCLA-118.txt
densidad-mezclada,MEZCLA-119,119,2624,instancias/densidad-mezclada/MEZCLA-119.txt
densidad-mezclada,MEZCLA-120,120,2666,instancias/densidad-mezclada/MEZCLA-120.txt
densidad-mezclada,MEZCLA-121,121,2709,instancias/densidad-mezclada/MEZCLA-121.txt
densidad-mezclada,MEZCLA-122,122,2751,instancias/densidad-mezclada/MEZCLA-122.txt
densidad-mezclada,MEZCLA-123,123,2794,instancias/densidad-mezclada/MEZCLA-123.txt
densidad-mezclada,MEZCLA-124,124,2838,instancias/densidad-mezclada/MEZCLA-124.txt
densidad-mezclada,MEZCLA-125,125,2881,instancias/densidad-mezclada/MEZCLA-125.txt
densidad-mezclada,MEZCLA-126,126,2926,instancias/densidad-mezclada/MEZCLA-126.txt
densidad-mezclada,MEZCLA-127,127,2970,instancias/densidad-mezclada/MEZCLA-127.txt
densidad-mezclada,MEZCLA-128,128,3015,instancias/densidad-mezclada/MEZCLA-128.txt
densidad-mezclada,MEZCLA-129,129,3060,instancias/densidad-mezclada/MEZCLA-129.txt
densidad-mezclada,MEZCLA-130,130,3105,instancias/densidad-mezclada/MEZCLA-130.txt
densidad-mezclada,MEZCLA-131,131,3151,instancias/densidad-mezclada/MEZCLA-131.txt
densidad-mezclada,MEZCLA-132,132,3197,instancias/densidad-mezclada/MEZCLA-132.txt
densidad-mezclada,MEZCLA-133,133,3243,instancias/densidad-mezclada/MEZCLA-133.txt
densidad-mezclada,MEZCLA-134,134,3290,instancias/densidad-mezclada/MEZCLA-134.txt
densidad-mezclada,MEZCLA-135,135,3337,instancias/densidad-mezclada/MEZCLA-135.txt
densidad-mezclada,MEZCLA-136,136,3384,instancias/densidad-mezclada/MEZCLA-136.txt
densidad-mezclada,MEZCLA-137,137,3432,instancias/densidad-mezclada/MEZCLA-137.txt
densidad-mezclada,MEZCLA-138,138,3480,instancias/densidad-mezclada/MEZCLA-138.txt
densidad-mezclada,MEZCLA-139,139,3529,instancias/densidad-mezclada/MEZCLA-139.txt
densidad-mezclada,MEZCLA-140,140,3577,instancias/densidad-mezclada/MEZCLA-140.txt
densidad-mezclada,MEZCLA-141,141,3626,instancias/densidad-mezclada/MEZCLA-141.txt
densidad-mezclada,MEZCLA-142,142,3676,instancias/densidad-mezclada/MEZCLA-142.txt
densidad-mezclada,MEZCLA-143,143,3725,instancias/densidad-mezclada/MEZCLA-143.txt
densidad-mezclada,MEZCLA-144,144,3776,instancias/densidad-mezclada/MEZCLA-144.txt
densidad-mezclada,MEZCLA-145,145,3826,instancias/densidad-mezclada/MEZCLA-145.txt
densidad-mezclada,MEZCLA-146,146,3877,instancias/densidad-mezclada/MEZCLA-146.txt
densidad-mezclada,MEZCLA-147,147,3928,instancias/densidad-mezclada/MEZCLA-147.txt
densidad-mezclada,MEZCLA-148,148,3979,instancias/densidad-mezclada/MEZCLA-148.txt
densidad-mezclada,MEZCLA-149,149,4031,instancias/densidad-mezclada/MEZCLA-149.txt
densidad-mezclada,MEZCLA-150,150,4083,instancias/densidad-mezclada/MEZCLA-150.txt
densidad-mezclada,MEZCLA-151,151,4135,instancias/densidad-mezclada/MEZCLA-151.txt
densidad-mezclada,MEZCLA-152,152,4188,instancias/densidad-mezclada/MEZCLA-152.txt
densidad-mezclada,MEZCLA-153,153,4241,instancias/densidad-mezclada/MEZCLA-153.txt
densidad-mezclada,MEZCLA-154,154,4294,instancias/densidad-mezclada/MEZCLA-154.txt
densidad-mezclada,MEZCLA-155,155,4348,instancias/densidad-mezclada/MEZCLA-155.txt
densidad-mezclada,MEZCLA-156,156,4402,instancias/densidad-mezclada/MEZCLA-156.txt
densidad-mezclada,MEZCLA-157,157,4457,instancias/densidad-mezclada/MEZCLA-157.txt
densidad-mezclada,MEZCLA-158,158,4511,instancias/densidad-mezclada/MEZCLA-158.txt
densidad-mezclada,MEZCLA-159,159,4566,instancias/densidad-mezclada/MEZCLA-159.txt
densidad-mezclada,MEZCLA-160,160,4622,instancias/densidad-mezclada/MEZCLA-160.txt
densidad-mezclada,MEZCLA-161,161,4677,instancias/densidad-mezclada/MEZCLA-161.txt
densidad-mezclada,MEZCLA-162,162,4734,instancias/densidad-mezclada/MEZCLA-162.txt
densidad-mezclada,MEZCLA-163,163,4790,instancias/densidad-mezclada/MEZCLA-163.txt
densidad-mezclada,MEZCLA-164,164,4847,instancias/densidad-mezclada/MEZCLA-164.txt
densidad-mezclada,MEZCLA-165,165,4904,instancias/densidad-mezclada/MEZCLA-165.txt
densidad-mezclada,MEZCLA-166,166,4961,instancias/densidad-mezclada/MEZCLA-166.txt
densidad-mezclada,MEZCLA-167,167,5019,instancias/densidad-mezclada/MEZCLA-167.txt
densidad-mezclada,MEZCLA-168,168,5077,instancias/densidad-mezclada/MEZCLA-168.txt
densidad-mezclada,MEZCLA-169,169,5135,instancias/densidad-mezclada/MEZCLA-169.txt
densidad-mezclada,MEZCLA-170,170,5194,instancias/densidad-mezclada/MEZCLA-170.txt
densidad-mezclada,MEZCLA-171,171,5253,instancias/densidad-mezclada/MEZCLA-171.txt
densidad-mezclada,MEZCLA-172,172,5312,instancias/densidad-mezclada/MEZCLA-172.txt
densidad-mezclada,MEZCLA-173,173,5372,instancias/densidad-mezclada/MEZCLA-173.txt
densidad-mezclada,MEZCLA-174,174,5432,instancias/densidad-mezclada/MEZCLA-174.txt
densidad-mezclada,MEZCLA-175,175,5493,instancias/densidad-mezclada/MEZCLA-175.txt
densidad-mezclada,MEZCLA-176,176,5553,instancias/densidad-mezclada/MEZCLA-176.txt
densidad-mezclada,MEZCLA-177,177,5614,instancias/densidad-mezclada/MEZCLA-177.txt
densidad-mezclada,MEZCLA-178,178,5676,instancias/densidad-mezclada/MEZCLA-178.txt
densidad-mezclada,MEZCLA-179,179,5737,instancias/densidad-mezclada/MEZCLA-179.txt
densidad-mezclada,MEZCLA-180,180,5800,instancias/densidad-mezclada/MEZCLA-180.txt
densidad-mezclada,MEZCLA-181,181,5862,instancias/densidad-mezclada/MEZCLA-181.txt
densidad-mezclada,MEZCLA-182,182,5925,instancias/densidad-mezclada/MEZCLA-182.txt
densidad-mezclada,MEZCLA-183,183,5988,instancias/densidad-mezclada/MEZCLA-183.txt
densidad-mezclada,MEZCLA-184,184,6051,instancias/densidad-mezclada/MEZCLA-184.txt
densidad-mezclada,MEZCLA-185,185,6115,instancias/densidad-mezclada/MEZCLA-185.txt
densidad-mezclada,MEZCLA-186,186,6179,instancias/densidad-mezclada/MEZCLA-186.txt
densidad-mezclada,MEZCLA-187,187,6243,instancias/densidad-mezclada/MEZCLA-187.txt
densidad-mezclada,MEZCLA-188,188,6308,instancias/densidad-mezclada/MEZCLA-188.txt
densidad-mezclada,MEZCLA-189,189,6373,instancias/densidad-mezclada/MEZCLA-189.txt
densidad-mezclada,MEZCLA-190,190,6438,instancias/densidad-mezclada/MEZCLA-190.txt
densidad-mezclada,MEZCLA-191,191,6504,instancias/densidad-mezclada/MEZCLA-191.txt
densidad-mezclada,MEZCLA-192,192,6570,instancias/densidad-mezclada/MEZCLA-192.txt
densidad-mezclada,MEZCLA-193,193,6637,instancias/densidad-mezclada/MEZCLA-193.txt
densidad-mezclada,MEZCLA-194,194,6703,instancias/densidad-mezclada/MEZCLA-194.txt
densidad-mezclada,MEZCLA-195,195,6770,instancias/densidad-mezclada/MEZCLA-195.txt
densidad-mezclada,MEZCLA-196,196,6838,instancias/densidad-mezclada/MEZCLA-196.txt
densidad-mezclada,MEZCLA-197,197,6905,instancias/densidad-mezclada/MEZCLA-197.txt
densidad-mezclada,MEZCLA-198,198,6974,instancias/densidad-mezclada/MEZCLA-198.txt
densidad-mezclada,MEZCLA-199,199,7042,instancias/densidad-mezclada/MEZCLA-199.txt
densidad-mezclada,MEZCLA-200,200,7111,instancias/densidad-mezclada/MEZCLA-200.txt
