dataset,instancia,n,R,archivo
densidad-alta,ALTA-71,71,426,instancias/densidad-alta/ALTA-71.txt
densidad-alta,ALTA-72,72,432,instancias/densidad-alta/ALTA-72.txt
densidad-alta,ALTA-73,73,438,instancias/densidad-alta/ALTA-73.txt
densidad-alta,ALTA-74,74,444,instancias/densidad-alta/ALTA-74.txt
densidad-alta,ALTA-75,75,450,instancias/densidad-alta/ALTA-75.txt
densidad-alta,ALTA-76,76,456,instancias/densidad-alta/ALTA-76.txt
densidad-alta,ALTA-77,77,462,instancias/densidad-alta/ALTA-77.txt
densidad-alta,ALTA-78,78,468,instancias/densidad-alta/ALTA-78.txt
densidad-alta,ALTA-79,79,474,instancias/densidad-alta/ALTA-79.txt
densidad-alta,ALTA-80,80,480,instancias/densidad-alta/ALTA-80.txt
densidad-alta,ALTA-81,81,486,instancias/densidad-alta/ALTA-81.txt
densidad-alta,ALTA-82,82,492,instancias/densidad-alta/ALTA-82.txt
densidad-alta,ALTA-83,83,498,instancias/densidad-alta/ALTA-83.txt
densidad-alta,ALTA-84,84,504,instancias/densidad-alta/ALTA-84.txt
densidad-alta,ALTA-85,85,510,instancias/densidad-alta/ALTA-85.txt
densidad-alta,ALTA-86,86,516,instancias/densidad-alta/ALTA-86.txt
densidad-alta,ALTA-87,87,522,instancias/densidad-alta/ALTA-87.txt
densidad-alta,ALTA-88,88,528,instancias/densidad-alta/ALTA-88.txt
densidad-alta,ALTA-89,89,534,instancias/densidad-alta/ALTA-89.txt
densidad-alta,ALTA-90,90,540,instancias/densidad-alta/ALTA-90.txt
densidad-alta,ALTA-91,91,546,instancias/densidad-alta/ALTA-91.txt
densidad-alta,ALTA-92,92,552,instancias/densidad-alta/ALTA-92.txt
densidad-alta,ALTA-93,93,558,instancias/densidad-alta/ALTA-93.txt
densidad-alta,ALTA-94,94,564,instancias/densidad-alta/ALTA-94.txt
densidad-alta,ALTA-95,95,570,instancias/densidad-alta/ALTA-95.txt
densidad-alta,ALTA-96,96,576,instancias/densidad-alta/ALTA-96.txt
densidad-alta,ALTA-97,97,582,instancias/densidad-alta/ALTA-97.txt
densidad-alta,ALTA-98,98,588,instancias/densidad-alta/ALTA-98.txt
densidad-alta,ALTA-99,99,594,instancias/densidad-alta/ALTA-99.txt
densidad-alta,ALTA-100,100,600,instancias/densidad-alta/ALTA-100.txt
densidad-alta,ALTA-101,101,606,instancias/densidad-alta/ALTA-101.txt
densidad-alta,ALTA-102,102,612,instancias/densidad-alta/ALTA-102.txt
densidad-alta,ALTA-103,103,618,instancias/densidad-alta/ALTA-103.txt
densidad-alta,ALTA-104,104,624,instancias/densidad-alta/ALTA-104.txt
densidad-alta,ALTA-105,105,630,instancias/densidad-alta/ALTA-105.txt
densidad-alta,ALTA-106,106,636,instancias/densidad-alta/ALTA-106.txt
densidad-alta,ALTA-107,107,642,instancias/densidad-alta/ALTA-107.txt
densidad-alta,ALTA-108,108,648,instancias/densidad-alta/ALTA-108.txt
densidad-alta,ALTA-109,109,654,instancias/densidad-alta/ALTA-109.txt
densidad-alta,ALTA-110,110,660,instancias/densidad-alta/ALTA-110.txt
densidad-alta,ALTA-111,111,666,instancias/densidad-alta/ALTA-111.txt
densidad-alta,ALTA-112,112,672,instancias/densidad-alta/ALTA-112.txt
densidad-alta,ALTA-113,113,678,instancias/densidad-alta/ALTA-113.txt
densidad-alta,ALTA-114,114,684,instancias/densidad-alta/ALTA-114.txt
densidad-alta,ALTA-115,115,690,instancias/densidad-alta/ALTA-115.txt
densidad-alta,ALTA-116,116,696,instancias/densidad-alta/ALTA-116.txt
densidad-alta,ALTA-117,117,702,instancias/densidad-alta/ALTA-117.txt
densidad-alta,ALTA-118,118,708,instancias/densidad-alta/ALTA-118.txt
densidad-alta,ALTA-119,119,714,instancias/densidad-alta/ALTA-119.txt
densidad-alta,ALTA-120,120,720,instancias/densidad-alta/ALTA-120.txt
densidad-alta,ALTA-121,121,726,instancias/densidad-alta/ALTA-121.txt
densidad-alta,ALTA-122,122,732,instancias/densidad-alta/ALTA-122.txt
densidad-alta,ALTA-123,123,738,instancias/densidad-alta/ALTA-123.txt
densidad-alta,ALTA-124,124,744,instancias/densidad-alta/ALTA-124.txt
densidad-alta,ALTA-125,125,750,instancias/densidad-alta/ALTA-125.txt
densidad-alta,ALTA-126,126,756,instancias/densidad-alta/ALTA-126.txt
densidad-alta,ALTA-127,127,762,instancias/densidad-alta/ALTA-127.txt
densidad-alta,ALTA-128,128,768,instancias/densidad-alta/ALTA-128.txt
densidad-alta,ALTA-129,129,774,instancias/densidad-alta/ALTA-129.txt
densidad-alta,ALTA-130,130,780,instancias/densidad-alta/ALTA-130.txt
densidad-alta,ALTA-131,131,786,instancias/densidad-alta/ALTA-131.txt
densidad-alta,ALTA-132,132,792,instancias/densidad-alta/ALTA-132.txt
densidad-alta,ALTA-133,133,798,instancias/densidad-alta/ALTA-133.txt
densidad-alta,ALTA-134,134,804,instancias/densidad-alta/ALTA-134.txt
densidad-alta,ALTA-135,135,810,instancias/densidad-alta/ALTA-135.txt
densidad-alta,ALTA-136,136,816,instancias/densidad-alta/ALTA-136.txt
densidad-alta,ALTA-137,137,822,instancias/densidad-alta/ALTA-137.txt
densidad-alta,ALTA-138,138,828,instancias/densidad-alta/ALTA-138.txt
densidad-alta,ALTA-139,139,834,instancias/densidad-alta/ALTA-139.txt
densidad-alta,ALTA-140,140,840,instancias/densidad-alta/ALTA-140.txt
densidad-alta,ALTA-141,141,846,instancias/densidad-alta/ALTA-141.txt
densidad-alta,ALTA-142,142,852,instancias/densidad-alta/ALTA-142.txt
densidad-alta,ALTA-143,143,858,instancias/densidad-alta/ALTA-143.txt
densidad-alta,ALTA-144,144,864,instancias/densidad-alta/ALTA-144.txt
densidad-alta,ALTA-145,145,870,instancias/densidad-alta/ALTA-145.txt
densidad-alta,ALTA-146,146,876,instancias/densidad-alta/ALTA-146.txt
densidad-alta,ALTA-147,147,882,instancias/densidad-alta/ALTA-147.txt
densidad-alta,ALTA-148,148,888,instancias/densidad-alta/ALTA-148.txt
densidad-alta,ALTA-149,149,894,instancias/densidad-alta/ALTA-149.txt
densidad-alta,ALTA-150,150,900,instancias/densidad-alta/ALTA-150.txt
densidad-alta,ALTA-151,151,906,instancias/densidad-alta/ALTA-151.txt
densidad-alta,ALTA-152,152,912,instancias/densidad-alta/ALTA-152.txt
densidad-alta,ALTA-153,153,918,instancias/densidad-alta/ALTA-153.txt
densidad-alta,ALTA-154,154,924,instancias/densidad-alta/ALTA-154.txt
densidad-alta,ALTA-155,155,930,instancias/densidad-alta/ALTA-155.txt
densidad-alta,ALTA-156,156,936,instancias/densidad-alta/ALTA-156.txt
densidad-alta,ALTA-157,157,942,instancias/densidad-alta/ALTA-157.txt
densidad-alta,ALTA-158,158,948,instancias/densidad-alta/ALTA-158.txt
densidad-alta,ALTA-159,159,954,instancias/densidad-alta/ALTA-159.txt
densidad-alta,ALTA-160,160,960,instancias/densidad-alta/ALTA-160.txt
densidad-alta,ALTA-161,161,966,instancias/densidad-alta/ALTA-161.txt
densidad-alta,ALTA-162,162,972,instancias/densidad-alta/ALTA-162.txt
densidad-alta,ALTA-163,163,978,instancias/densidad-alta/ALTA-163.txt
densidad-alta,ALTA-164,164,984,instancias/densidad-alta/ALTA-164.txt
densidad-alta,ALTA-165,165,990,instancias/densidad-alta/ALTA-165.txt
densidad-alta,ALTA-166,166,996,instancias/densidad-alta/ALTA-166.txt
densidad-alta,ALTA-167,167,1002,instancias/densidad-alta/ALTA-167.txt
densidad-alta,ALTA-168,168,1008,instancias/densidad-alta/ALTA-168.txt
densidad-alta,ALTA-169,169,1014,instancias/densidad-alta/ALTA-169.txt
densidad-alta,ALTA-170,170,1020,instancias/densidad-alta/ALTA-170.txt
densidad-alta,ALTA-171,171,1026,instancias/densidad-alta/ALTA-171.txt
densidad-alta,ALTA-172,172,1032,instancias/densidad-alta/ALTA-172.txt
densidad-alta,ALTA-173,173,1038,instancias/densidad-alta/ALTA-173.txt
densidad-alta,ALTA-174,174,1044,instancias/densidad-alta/ALTA-174.txt
densidad-alta,ALTA-175,175,1050,instancias/densidad-alta/ALTA-175.txt
densidad-alta,ALTA-176,176,1056,instancias/densidad-alta/ALTA-176.txt
densidad-alta,ALTA-177,177,1062,instancias/densidad-alta/ALTA-177.txt
densidad-alta,ALTA-178,178,1068,instancias/densidad-alta/ALTA-178.txt
densidad-alta,ALTA-179,179,1074,instancias/densidad-alta/ALTA-179.txt
densidad-alta,ALTA-180,180,1080,instancias/densidad-alta/ALTA-180.txt
densidad-alta,ALTA-181,181,1086,instancias/densidad-alta/ALTA-181.txt
densidad-alta,ALTA-182,182,1092,instancias/densidad-alta/ALTA-182.txt
densidad-alta,ALTA-183,183,1098,instancias/densidad-alta/ALTA-183.txt
densidad-alta,ALTA-184,184,1104,instancias/densidad-alta/ALTA-184.txt
densidad-alta,ALTA-185,185,1110,instancias/densidad-alta/ALTA-185.txt
densidad-alta,ALTA-186,186,1116,instancias/densidad-alta/ALTA-186.txt
densidad-alta,ALTA-187,187,1122,instancias/densidad-alta/ALTA-187.txt
densidad-alta,ALTA-188,188,1128,instancias/densidad-alta/ALTA-188.txt
densidad-alta,ALTA-189,189,1134,instancias/densidad-alta/ALTA-189.txt
densidad-alta,ALTA-190,190,1140,instancias/densidad-alta/ALTA-190.txt
densidad-alta,ALTA-191,191,1146,instancias/densidad-alta/ALTA-191.txt
densidad-alta,ALTA-192,192,1152,instancias/densidad-alta/ALTA-192.txt
densidad-alta,ALTA-193,193,1158,instancias/densidad-alta/ALTA-193.txt
densidad-alta,ALTA-194,194,1164,instancias/densidad-alta/ALTA-194.txt
densidad-alta,ALTA-195,195,1170,instancias/densidad-alta/ALTA-195.txt
densidad-alta,ALTA-196,196,1176,instancias/densidad-alta/ALTA-196.txt
densidad-alta,ALTA-197,197,1182,instancias/densidad-alta/ALTA-197.txt
densidad-alta,ALTA-198,198,1188,instancias/densidad-alta/ALTA-198.txt
densidad-alta,ALTA-199,199,1194,instancias/densidad-alta/ALTA-199.txt
densidad-alta,ALTA-200,200,1200,instancias/densidad-alta/ALTA-200.txt
