dataset,instancia,n,R,archivo
densidad-mezclada,MEZCLA-62,62,778,instancias/densidad-mezclada/MEZCLA-62.txt
densidad-mezclada,MEZCLA-63,63,801,instancias/densidad-mezclada/MEZCLA-63.txt
densidad-mezclada,MEZCLA-64,64,824,instancias/densidad-mezclada/MEZCLA-64.txt
densidad-mezclada,MEZCLA-65,65,848,instancias/densidad-mezclada/MEZCLA-65.txt
densidad-mezclada,MEZCLA-66,66,872,instancias/densidad-mezclada/MEZCLA-66.txt
densidad-mezclada,MEZCLA-67,67,897,instancias/densidad-mezclada/MEZCLA-67.txt
densidad-mezclada,MEZCLA-68,68,921,instancias/densidad-mezclada/MEZCLA-68.txt
densidad-mezclada,MEZCLA-69,69,946,instancias/densidad-mezclada/MEZCLA-69.txt
densidad-mezclada,MEZCLA-70,70,972,instancias/densidad-mezclada/MEZCLA-70.txt
densidad-mezclada,MEZCLA-71,71,997,instancias/densidad-mezclada/MEZCLA-71.txt
densidad-mezclada,MEZCLA-72,72,1024,instancias/densidad-mezclada/MEZCLA-72.txt
densidad-mezclada,MEZCLA-73,73,1050,instancias/densidad-mezclada/MEZCLA-73.txt
densidad-mezclada,MEZCLA-74,74,1077,instancias/densidad-mezclada/MEZCLA-74.txt
densidad-mezclada,MEZCLA-75,75,1104,instancias/densidad-mezclada/MEZCLA-75.txt
densidad-mezclada,MEZCLA-76,76,1131,instancias/densidad-mezclada/MEZCLA-76.txt
densidad-mezclada,MEZCLA-77,77,1159,instancias/densidad-mezclada/MEZCLA-77.txt
densidad-mezclada,MEZCLA-78,78,1187,instancias/densidad-mezclada/MEZCLA-78.txt
densidad-mezclada,MEZCLA-79,79,1215,instancias/densidad-mezclada/MEZCLA-79.txt
densidad-mezclada,MEZCLA-80,80,1244,instancias/densidad-mezclada/MEZCLA-80.txt
densidad-mezclada,MEZCLA-81,81,1273,instancias/densidad-mezclada/MEZCLA-81.txt
densidad-mezclada,MEZCLA-82,82,1302,instancias/densidad-mezclada/MEZCLA-82.txt
densidad-mezclada,MEZCLA-83,83,1332,instancias/densidad-mezclada/MEZCLA-83.txt
densidad-mezclada,MEZCLA-84,84,1362,instancias/densidad-mezclada/MEZCLA-84.txt
densidad-mezclada,MEZCLA-85,85,1393,instancias/densidad-mezclada/MEZCLA-85.txt
densidad-mezclada,MEZCLA-86,86,1423,instancias/densidad-mezclada/MEZCLA-86.txt
densidad-mezclada,MEZCLA-87,87,1454,instancias/densidad-mezclada/MEZCLA-87.txt
densidad-mezclada,MEZCLA-88,88,1486,instancias/densidad-mezclada/MEZCLA-88.txt
densidad-mezclada,MEZCLA-89,89,1517,instancias/densidad-mezclada/MEZCLA-89.txt
densidad-mezclada,MEZCLA-90,90,1550,instancias/densidad-mezclada/MEZCLA-90.txt
densidad-mezclada,MEZCLA-91,91,1582,instancias/densidad-mezclada/MEZCLA-91.txt
densidad-mezclada,MEZCLA-92,92,1615,instancias/densidad-mezclada/MEZCLA-92.txt
densidad-mezclada,MEZCLA-93,93,1648,instancias/densidad-mezclada/MEZCLA-93.txt
densidad-mezclada,MEZCLA-94,94,1681,instancias/densidad-mezclada/MEZCLA-94.txt
densidad-mezclada,MEZCLA-95,95,1715,instancias/densidad-mezclada/MEZCLA-95.txt
densidad-mezclada,MEZCLA-96,96,1749,instancias/densidad-mezclada/MEZCLA-96.txt
densidad-mezclada,MEZCLA-97,97,1783,instancias/densidad-mezclada/MEZCLA-97.txt
densidad-mezclada,MEZCLA-98,98,1818,instancias/densidad-mezclada/MEZCLA-98.txt
densidad-mezclada,MEZCLA-99,99,1853,instancias/densidad-mezclada/MEZCLA-99.txt
densidad-mezclada,MEZCLA-100,100,1888,instancias/densidad-mezclada/MEZCLA-100.txt
densidad-mezclada,MEZCLA-101,101,1924,instancias/densidad-mezclada/MEZCLA-101.txt
densidad-mezclada,MEZCLA-102,102,1960,instancias/densidad-mezclada/MEZCLA-102.txt
densidad-mezclada,MEZCLA-103,103,1997,instancias/densidad-mezclada/MEZCLA-103.txt
densidad-mezclada,MEZCLA-104,104,2033,instancias/densidad-mezclada/MEZCLA-104.txt
densidad-mezclada,MEZCLA-105,105,2070,instancias/densidad-mezclada/MEZCLA-105.txt
densidad-mezclada,MEZCLA-106,106,2108,instancias/densidad-mezclada/MEZCLA-106.txt
densidad-mezclada,MEZCLA-107,107,2145,instancias/densidad-mezclada/MEZCLA-107.txt
densidad-mezclada,MEZCLA-108,108,2184,instancias/densidad-mezclada/MEZCLA-108.txt
densidad-mezclada,MEZCLA-109,109,2222,instancias/densidad-mezclada/MEZCLA-109.txt
densidad-mezclada,MEZCLA-110,110,2261,instancias/densidad-mezclada/MEZCLA-110.txt
densidad-mezclada,MEZCLA-111,111,2300,instancias/densidad-mezclada/MEZCLA-111.txt
densidad-mezclada,MEZCLA-112,112,2339,instancias/densidad-mezclada/MEZCLA-112.txt
densidad-mezclada,MEZCLA-113,113,2379,instancias/densidad-mezclada/MEZCLA-113.txt
densidad-mezclada,MEZCLA-114,114,2419,instancias/densidad-mezclada/MEZCLA-114.txt
densidad-mezclada,MEZCLA-115,115,2459,instancias/densidad-mezclada/MEZCLA-115.txt
densidad-mezclada,MEZCLA-116,116,2500,instancias/densidad-mezclada/MEZCLA-116.txt
densidad-mezclada,MEZCLA-117,117,2541,instancias/densidad-mezclada/MEZCLA-117.txt
densidad-mezclada,MEZCLA-118,118,2582,instancias/densidad-mezclada/MEZCLA-118.txt
densidad-mezclada,MEZCLA-119,119,2624,instancias/densidad-mezclada/MEZCLA-119.txt
densidad-mezclada,MEZCLA-120,120,2666,instancias/densidad-mezclada/MEZCLA-120.txt
densidad-mezclada,MEZCLA-121,121,2709,instancias/densidad-mezclada/MEZCLA-121.txt
densidad-mezclada,MEZCLA-122,122,2751,instancias/densidad-mezclada/MEZCLA-122.txt
densidad-mezclada,MEZCLA-123,123,2794,instancias/densidad-mezclada/MEZCLA-123.txt
densidad-mezclada,MEZCLA-124,124,2838,instancias/densidad-mezclada/MEZCLA-124.txt
densidad-mezclada,MEZCLA-125,125,2881,instancias/densidad-mezclada/MEZCLA-125.txt
densidad-mezclada,MEZCLA-126,126,2926,instancias/densidad-mezclada/MEZCLA-126.txt
densidad-mezclada,MEZCLA-127,127,2970,instancias/densidad-mezclada/MEZCLA-127.txt
densidad-mezclada,MEZCLA-128,128,3015,instancias/densidad-mezclada/MEZCLA-128.txt
densidad-mezclada,MEZCLA-129,129,3060,instancias/densidad-mezclada/MEZCLA-129.txt
densidad-mezclada,MEZCLA-130,130,3105,instancias/densidad-mezclada/MEZCLA-130.txt
densidad-mezclada,MEZCLA-131,131,3151,instancias/densidad-mezclada/MEZCLA-131.txt
densidad-mezclada,MEZCLA-132,132,3197,instancias/densidad-mezclada/MEZCLA-132.txt
densidad-mezclada,MEZCLA-133,133,3243,instancias/densidad-mezclada/MEZCLA-133.txt
densidad-mezclada,MEZCLA-134,134,3290,instancias/densidad-mezclada/MEZCLA-134.txt
densidad-mezclada,MEZCLA-135,135,3337,instancias/densidad-mezclada/MEZCLA-135.txt
densidad-mezclada,MEZCLA-136,136,3384,instancias/densidad-mezclada/MEZCLA-136.txt
densidad-mezclada,MEZCLA-137,137,3432,instancias/densidad-mezclada/MEZCLA-137.txt
densidad-mezclada,MEZCLA-138,138,3480,instancias/densidad-mezclada/MEZCLA-138.txt
densidad-mezclada,MEZCLA-139,139,3529,instancias/densidad-mezclada/MEZCLA-139.txt
densidad-mezclada,MEZCLA-140,140,3577,instancias/densidad-mezclada/MEZCLA-140.txt
densidad-mezclada,MEZCLA-141,141,3626,instancias/densidad-mezclada/MEZCLA-141.txt
densidad-mezclada,MEZCLA-142,142,3676,instancias/densidad-mezclada/MEZCLA-142.txt
densidad-mezclada,MEZCLA-143,143,3725,instancias/densidad-mezclada/MEZCLA-143.txt
densidad-mezclada,MEZCLA-144,144,3776,instancias/densidad-mezclada/MEZCLA-144.txt
densidad-mezclada,MEZCLA-145,145,3826,instancias/densidad-mezclada/MEZCLA-145.txt
densidad-mezclada,MEZCLA-146,146,3877,instancias/densidad-mezclada/MEZCLA-146.txt
densidad-mezclada,MEZCLA-147,147,3928,instancias/densidad-mezclada/MEZCLA-147.txt
densidad-mezclada,MEZCLA-148,148,3979,instancias/densidad-mezclada/MEZCLA-148.txt
densidad-mezclada,MEZCLA-149,149,4031,instancias/densidad-mezclada/MEZCLA-149.txt
densidad-mezclada,MEZCLA-150,150,4083,instancias/densidad-mezclada/MEZCLA-150.txt
densidad-mezclada,MEZCLA-151,151,4135,instancias/densidad-mezclada/MEZCLA-151.txt
densidad-mezclada,MEZCLA-152,152,4188,instancias/densidad-mezclada/MEZCLA-152.txt
densidad-mezclada,MEZCLA-153,153,4241,instancias/densidad-mezclada/MEZCLA-153.txt
densidad-mezclada,MEZCLA-154,154,4294,instancias/densidad-mezclada/MEZCLA-154.txt
densidad-mezclada,MEZCLA-155,155,4348,instancias/densidad-mezclada/MEZCLA-155.txt
densidad-mezclada,MEZCLA-156,156,4402,instancias/densidad-mezclada/MEZCLA-156.txt
densidad-mezclada,MEZCLA-157,157,4457,instancias/densidad-mezclada/MEZCLA-157.txt
densidad-mezclada,MEZCLA-158,158,4511,instancias/densidad-mezclada/MEZCLA-158.txt
densidad-mezclada,MEZCLA-159,159,4566,instancias/densidad-mezclada/MEZCLA-159.txt
densidad-mezclada,MEZCLA-160,160,4622,instancias/densidad-mezclada/MEZCLA-160.txt
densidad-mezclada,MEZCLA-161,161,4677,instancias/densidad-mezclada/MEZCLA-161.txt
densidad-mezclada,MEZCLA-162,162,4734,instancias/densidad-mezclada/MEZCLA-162.txt
densidad-mezclada,MEZCLA-163,163,4790,instancias/densidad-mezclada/MEZCLA-163.txt
densidad-mezclada,MEZCLA-164,164,4847,instancias/densidad-mezclada/MEZCLA-164.txt
densidad-mezclada,MEZCLA-165,165,4904,instancias/densidad-mezclada/MEZCLA-165.txt
densidad-mezclada,MEZCLA-166,166,4961,instancias/densidad-mezclada/MEZCLA-166.txt
densidad-mezclada,MEZCLA-167,167,5019,instancias/densidad-mezclada/MEZCLA-167.txt
densidad-mezclada,MEZCLA-168,168,5077,instancias/densidad-mezclada/MEZCLA-168.txt
densidad-mezclada,MEZCLA-169,169,5135,instancias/densidad-mezclada/MEZCLA-169.txt
densidad-mezclada,MEZCLA-170,170,5194,instancias/densidad-mezclada/MEZCLA-170.txt
densidad-mezclada,MEZCLA-171,171,5253,instancias/densidad-mezclada/MEZCLA-171.txt
densidad-mezclada,MEZCLA-172,172,5312,instancias/densidad-mezclada/MEZCLA-172.txt
densidad-mezclada,MEZCLA-173,173,5372,instancias/densidad-mezclada/MEZCLA-173.txt
densidad-mezclada,MEZCLA-174,174,5432,instancias/densidad-mezclada/MEZCLA-174.txt
densidad-mezclada,MEZCLA-175,175,5493,instancias/densidad-mezclada/MEZCLA-175.txt
densidad-mezclada,MEZCLA-176,176,5553,instancias/densidad-mezclada/MEZCLA-176.txt
densidad-mezclada,MEZCLA-177,177,5614,instancias/densidad-mezclada/MEZCLA-177.txt
densidad-mezclada,MEZCLA-178,178,5676,instancias/densidad-mezclada/MEZCLA-178.txt
densidad-mezclada,MEZCLA-179,179,5737,instancias/densidad-mezclada/MEZCLA-179.txt
densidad-mezclada,MEZCLA-180,180,5800,instancias/densidad-mezclada/MEZCLA-180.txt
densidad-mezclada,MEZCLA-181,181,5862,instancias/densidad-mezclada/MEZCLA-181.txt
densidad-mezclada,MEZCLA-182,182,5925,instancias/densidad-mezclada/MEZCLA-182.txt
densidad-mezclada,MEZCLA-183,183,5988,instancias/densidad-mezclada/MEZCLA-183.txt
densidad-mezclada,MEZCLA-184,184,6051,instancias/densidad-mezclada/MEZCLA-184.txt
densidad-mezclada,MEZCLA-185,185,6115,instancias/densidad-mezclada/MEZCLA-185.txt
densidad-mezclada,MEZCLA-186,186,6179,instancias/densidad-mezclada/MEZCLA-186.txt
densidad-mezclada,MEZCLA-187,187,6243,instancias/densidad-mezclada/MEZCLA-187.txt
densidad-mezclada,MEZCLA-188,188,6308,instancias/densidad-mezclada/MEZCLA-188.txt
densidad-mezclada,MEZCLA-189,189,6373,instancias/densidad-mezclada/MEZCLA-189.txt
densidad-mezclada,MEZCLA-190,190,6438,instancias/densidad-mezclada/MEZCLA-190.txt
densidad-mezclada,MEZCLA-191,191,6504,instancias/densidad-mezclada/MEZCLA-191.txt
densidad-mezclada,MEZCLA-192,192,6570,instancias/densidad-mezclada/MEZCLA-192.txt
densidad-mezclada,MEZCLA-193,193,6637,instancias/densidad-mezclada/MEZCLA-193.txt
densidad-mezclada,MEZCLA-194,194,6703,instancias/densidad-mezclada/MEZCLA-194.txt
densidad-mezclada,MEZCLA-195,195,6770,instancias/densidad-mezclada/MEZCLA-195.txt
densidad-mezclada,MEZCLA-196,196,6838,instancias/densidad-mezclada/MEZCLA-196.txt
densidad-mezclada,MEZCLA-197,197,6905,instancias/densidad-mezclada/MEZCLA-197.txt
densidad-mezclada,MEZCLA-198,198,6974,instancias/densidad-mezclada/MEZCLA-198.txt
densidad-mezclada,MEZCLA-199,199,7042,instancias/densidad-mezclada/MEZCLA-199.txt
densidad-mezclada,MEZCLA-200,200,7111,instancias/densidad-mezclada/MEZCLA-200.txt
dinamica,DP-1,1,1,instancias/dinamica/DP-1.txt
dinamica,DP-2,2,3,instancias/dinamica/DP-2.txt
dinamica,DP-3,3,6,instancias/dinamica/DP-3.txt
dinamica,DP-4,4,10,instancias/dinamica/DP-4.txt
dinamica,DP-5,5,15,instancias/dinamica/DP-5.txt
dinamica,DP-6,6,21,instancias/dinamica/DP-6.txt
dinamica,DP-7,7,28,instancias/dinamica/DP-7.txt
dinamica,DP-8,8,36,instancias/dinamica/DP-8.txt
dinamica,DP-9,9,45,instancias/dinamica/DP-9.txt
dinamica,DP-10,10,55,instancias/dinamica/DP-10.txt
dinamica,DP-11,11,66,instancias/dinamica/DP-11.txt
dinamica,DP-12,12,78,instancias/dinamica/DP-12.txt
dinamica,DP-13,13,91,instancias/dinamica/DP-13.txt
dinamica,DP-14,14,105,instancias/dinamica/DP-14.txt
dinamica,DP-15,15,120,instancias/dinamica/DP-15.txt
dinamica,DP-16,16,136,instancias/dinamica/DP-16.txt
dinamica,DP-17,17,153,instancias/dinamica/DP-17.txt
dinamica,DP-18,18,171,instancias/dinamica/DP-18.txt
dinamica,DP-19,19,190,instancias/dinamica/DP-19.txt
dinamica,DP-20,20,210,instancias/dinamica/DP-20.txt
dinamica,DP-21,21,231,instancias/dinamica/DP-21.txt
dinamica,DP-22,22,253,instancias/dinamica/DP-22.txt
dinamica,DP-23,23,276,instancias/dinamica/DP-23.txt
dinamica,DP-24,24,300,instancias/dinamica/DP-24.txt
dinamica,DP-25,25,325,instancias/dinamica/DP-25.txt
dinamica,DP-26,26,351,instancias/dinamica/DP-26.txt
dinamica,DP-27,27,378,instancias/dinamica/DP-27.txt
dinamica,DP-28,28,406,instancias/dinamica/DP-28.txt
dinamica,DP-29,29,435,instancias/dinamica/DP-29.txt
dinamica,DP-30,30,465,instancias/dinamica/DP-30.txt
dinamica,DP-31,31,496,instancias/dinamica/DP-31.txt
dinamica,DP-32,32,528,instancias/dinamica/DP-32.txt
dinamica,DP-33,33,561,instancias/dinamica/DP-33.txt
dinamica,DP-34,34,595,instancias/dinamica/DP-34.txt
dinamica,DP-35,35,630,instancias/dinamica/DP-35.txt
dinamica,DP-36,36,666,instancias/dinamica/DP-36.txt
dinamica,DP-37,37,703,instancias/dinamica/DP-37.txt
dinamica,DP-38,38,741,instancias/dinamica/DP-38.txt
dinamica,DP-39,39,780,instancias/dinamica/DP-39.txt
dinamica,DP-40,40,820,instancias/dinamica/DP-40.txt
dinamica,DP-41,41,861,instancias/dinamica/DP-41.txt
dinamica,DP-42,42,903,instancias/dinamica/DP-42.txt
dinamica,DP-43,43,946,instancias/dinamica/DP-43.txt
dinamica,DP-44,44,990,instancias/dinamica/DP-44.txt
dinamica,DP-45,45,1035,instancias/dinamica/DP-45.txt
dinamica,DP-46,46,1081,instancias/dinamica/DP-46.txt
dinamica,DP-47,47,1128,instancias/dinamica/DP-47.txt
dinamica,DP-48,48,1176,instancias/dinamica/DP-48.txt
dinamica,DP-49,49,1225,instancias/dinamica/DP-49.txt
dinamica,DP-50,50,1275,instancias/dinamica/DP-50.txt
dinamica,DP-51,51,1326,instancias/dinamica/DP-51.txt
dinamica,DP-52,52,1378,instancias/dinamica/DP-52.txt
dinamica,DP-53,53,1431,instancias/dinamica/DP-53.txt
dinamica,DP-54,54,1485,instancias/dinamica/DP-54.txt
dinamica,DP-55,55,1540,instancias/dinamica/DP-55.txt
dinamica,DP-56,56,1596,instancias/dinamica/DP-56.txt
dinamica,DP-57,57,1653,instancias/dinamica/DP-57.txt
dinamica,DP-58,58,1711,instancias/dinamica/DP-58.txt
dinamica,DP-59,59,1770,instancias/dinamica/DP-59.txt
dinamica,DP-60,60,1830,instancias/dinamica/DP-60.txt
dinamica,DP-61,61,1891,instancias/dinamica/DP-61.txt
dinamica,DP-62,62,1953,instancias/dinamica/DP-62.txt
dinamica,DP-63,63,2016,instancias/dinamica/DP-63.txt
dinamica,DP-64,64,2080,instancias/dinamica/DP-64.txt
dinamica,DP-65,65,2145,instancias/dinamica/DP-65.txt
dinamica,DP-66,66,2211,instancias/dinamica/DP-66.txt
dinamica,DP-67,67,2278,instancias/dinamica/DP-67.txt
dinamica,DP-68,68,2346,instancias/dinamica/DP-68.txt
dinamica,DP-69,69,2415,instancias/dinamica/DP-69.txt
dinamica,DP-70,70,2485,instancias/dinamica/DP-70.txt
dinamica,DP-71,71,2556,instancias/dinamica/DP-71.txt
dinamica,DP-72,72,2628,instancias/dinamica/DP-72.txt
dinamica,DP-73,73,2701,instancias/dinamica/DP-73.txt
dinamica,DP-74,74,2775,instancias/dinamica/DP-74.txt
dinamica,DP-75,75,2850,instancias/dinamica/DP-75.txt
dinamica,DP-76,76,2926,instancias/dinamica/DP-76.txt
dinamica,DP-77,77,3003,instancias/dinamica/DP-77.txt
dinamica,DP-78,78,3081,instancias/dinamica/DP-78.txt
dinamica,DP-79,79,3160,instancias/dinamica/DP-79.txt
dinamica,DP-80,80,3240,instancias/dinamica/DP-80.txt
dinamica,DP-81,81,3321,instancias/dinamica/DP-81.txt
dinamica,DP-82,82,3403,instancias/dinamica/DP-82.txt
dinamica,DP-83,83,3486,instancias/dinamica/DP-83.txt
dinamica,DP-84,84,3570,instancias/dinamica/DP-84.txt
dinamica,DP-85,85,3655,instancias/dinamica/DP-85.txt
dinamica,DP-86,86,3741,instancias/dinamica/DP-86.txt
dinamica,DP-87,87,3828,instancias/dinamica/DP-87.txt
dinamica,DP-88,88,3916,instancias/dinamica/DP-88.txt
dinamica,DP-89,89,4005,instancias/dinamica/DP-89.txt
dinamica,DP-90,90,4095,instancias/dinamica/DP-90.txt
dinamica,DP-91,91,4186,instancias/dinamica/DP-91.txt
dinamica,DP-92,92,4278,instancias/dinamica/DP-92.txt
dinamica,DP-93,93,4371,instancias/dinamica/DP-93.txt
dinamica,DP-94,94,4465,instancias/dinamica/DP-94.txt
dinamica,DP-95,95,4560,instancias/dinamica/DP-95.txt
dinamica,DP-96,96,4656,instancias/dinamica/DP-96.txt
dinamica,DP-97,97,4753,instancias/dinamica/DP-97.txt
dinamica,DP-98,98,4851,instancias/dinamica/DP-98.txt
dinamica,DP-99,99,4950,instancias/dinamica/DP-99.txt
dinamica,DP-100,100,5050,instancias/dinamica/DP-100.txt
dinamica,DP-101,101,5151,instancias/dinamica/DP-101.txt
dinamica,DP-102,102,5253,instancias/dinamica/DP-102.txt
dinamica,DP-103,103,5356,instancias/dinamica/DP-103.txt
dinamica,DP-104,104,5460,instancias/dinamica/DP-104.txt
dinamica,DP-105,105,5565,instancias/dinamica/DP-105.txt
dinamica,DP-106,106,5671,instancias/dinamica/DP-106.txt
dinamica,DP-107,107,5778,instancias/dinamica/DP-107.txt
dinamica,DP-108,108,5886,instancias/dinamica/DP-108.txt
dinamica,DP-109,109,5995,instancias/dinamica/DP-109.txt
dinamica,DP-110,110,6105,instancias/dinamica/DP-110.txt
dinamica,DP-111,111,6216,instancias/dinamica/DP-111.txt
dinamica,DP-112,112,6328,instancias/dinamica/DP-112.txt
dinamica,DP-113,113,6441,instancias/dinamica/DP-113.txt
dinamica,DP-114,114,6555,instancias/dinamica/DP-114.txt
dinamica,DP-115,115,6670,instancias/dinamica/DP-115.txt
dinamica,DP-116,116,6786,instancias/dinamica/DP-116.txt
dinamica,DP-117,117,6903,instancias/dinamica/DP-117.txt
dinamica,DP-118,118,7021,instancias/dinamica/DP-118.txt
dinamica,DP-119,119,7140,instancias/dinamica/DP-119.txt
dinamica,DP-120,120,7260,instancias/dinamica/DP-120.txt
dinamica,DP-121,121,7381,instancias/dinamica/DP-121.txt
dinamica,DP-122,122,7503,instancias/dinamica/DP-122.txt
dinamica,DP-123,123,7626,instancias/dinamica/DP-123.txt
dinamica,DP-124,124,7750,instancias/dinamica/DP-124.txt
dinamica,DP-125,125,7875,instancias/dinamica/DP-125.txt
dinamica,DP-126,126,8001,instancias/dinamica/DP-126.txt
dinamica,DP-127,127,8128,instancias/dinamica/DP-127.txt
dinamica,DP-128,128,8256,instancias/dinamica/DP-128.txt
dinamica,DP-129,129,8385,instancias/dinamica/DP-129.txt
dinamica,DP-130,130,8515,instancias/dinamica/DP-130.txt
dinamica,DP-131,131,8646,instancias/dinamica/DP-131.txt
dinamica,DP-132,132,8778,instancias/dinamica/DP-132.txt
dinamica,DP-133,133,8911,instancias/dinamica/DP-133.txt
dinamica,DP-134,134,9045,instancias/dinamica/DP-134.txt
dinamica,DP-135,135,9180,instancias/dinamica/DP-135.txt
dinamica,DP-136,136,9316,instancias/dinamica/DP-136.txt
dinamica,DP-137,137,9453,instancias/dinamica/DP-137.txt
dinamica,DP-138,138,9591,instancias/dinamica/DP-138.txt
dinamica,DP-139,139,9730,instancias/dinamica/DP-139.txt
dinamica,DP-140,140,9870,instancias/dinamica/DP-140.txt
